entity_a,entity_b,source_flags,n_assertions,needs_review,region,source,quote,notes,entity_a_polygon_source,entity_a_polygon_id,entity_a_display_name,entity_a_match_method,entity_a_resolve_source,entity_b_polygon_source,entity_b_polygon_id,entity_b_display_name,entity_b_match_method,entity_b_resolve_source,homeland_complete
Balante,DIOLA,icmid_jr_pair,1,0,West Africa,"Mandinka_Volkova_2018.pdf
 [for Serer] Serer_Evans_2025
[for Balante] Balante_Badjie_2020","Au Sénégal, comme dans tous les autres pays de la sous-région, les relations à plaisanterie
 sont établies entre plusieurs populations. La relation qui nous intéressera en particulier est
 celle qui relie les Joola aux Sereer.

Notons par ailleurs que les Mandinka n’ont pas développé d’alliance à plaisanterie avec
aucune autre ethnie. Pourtant, cette relation a bien été constatée chez d’autres mandingues :
par exemple, les Bambara sont cousins à plaisanterie des Peuls329. Nous allons essayer
d’expliquer cela à la fin de ce chapitre.
 [for Serer] Broader solidarities, meanwhile, have
 been promoted in the interests of peace by deploying visual arts, performing arts,
 traditional ceremonies and cousinage a plaisanterie—a joking relationship between
 different ethnic groups, in this case between the Jola and the Serer (a larger group
 from Senegal north of The Gambia). Cultural days/weekends have at times been
 organised involving one or more of the above elements (AJAC–APRAN 2000; de
 Jong 2005; Foucher 2007b; Warrington 2013).
[for Balante] TABLE I. CATEGORIES AND JOKING RELATIONSHIP AFFILIATES","Mandinka- GeoPR, Joola is another name for the Diola group",murdock,BALANTE,Balante,index,ethnic_entity_index,murdock,DIOLA,Diola,index,ethnic_entity_index,1
BALANTE,Fula,icmid_jr_pair,1,1,West Africa,Balante_Badjie_2020.pdf,TABLE I. CATEGORIES AND JOKING RELATIONSHIP AFFILIATES,,murdock,BALANTE,Balante,index,ethnic_entity_index,geopr,42002000,Fula,gis_exact,gis:geopr,1
Balante,SERER,icmid_jr_pair,1,0,West Africa,"Serer_Evans_2025
 [for Tukulor] Tukulor_Galvan_2006.pdf
[for Balante] Balante_Badjie_2020.pdf","Broader solidarities, meanwhile, have
 been promoted in the interests of peace by deploying visual arts, performing arts,
 traditional ceremonies and cousinage a plaisanterie—a joking relationship between
 different ethnic groups, in this case between the Jola and the Serer (a larger group
 from Senegal north of The Gambia). Cultural days/weekends have at times been
 organised involving one or more of the above elements (AJAC–APRAN 2000; de
 Jong 2005; Foucher 2007b; Warrington 2013).
 [for Tukulor] For example, upon meeting a person of the Serer ethnic group, a Tukolor might include among the usual greetings a jab like ""Oh, you're a Serer? Then you're my slave"". To which it would be appropriate for the Serer person to retort, ""No, no, all Tukolors are the slaves of the Serer"". Or Serer neighbors with last name Faye and Diouf, also understood to have a joking kinship, might follow this exchange: ""Diouf? Diouf, you all eat too much."" ""Oh, you Fayes, you can't invite a Faye over to your house, because you will never have enough food to feed him."" Both parties might continue this type of mutually insulting banter for a short time, and greetings aside, move on to everyday conversation or the particular subject that brings them together.

[for Balante]       TABLE I. CATEGORIES AND JOKING RELATIONSHIP AFFILIATES",,murdock,BALANTE,Balante,index,ethnic_entity_index,murdock,SERER,Serer,index,ethnic_entity_index,1
Bamana,SONINKE,icmid_jr_pair,1,0,West Africa,Songhai_Cisse_2013,"The Soninke and the Bamana, the Mossi and the Gurmantche, the Manding with the Soninke,
the Khassonke and the Bamana maintain joking kinship.",,,,Bamana,,,murdock,SONINKE,Soninke,index,ethnic_entity_index,0
Bambara,BOZO,icmid_jr_pair,1,0,West Africa,"Bozo_Attino_2021, Bambara_119_NK:p1","Le cousinage est un pacte social scellé et inviolable qui lie deux clans à
l’intérieur de la même communauté (Traoré et Diarra ; Maïga et Touré) ou
entre deux groupes ethniques (Dogon et Songhay, Songhay et Mossi ; Bozo et
Dogon). Il a généralement un fondement idéologique et remonte dans
l’histoire des communautés. Il peut être aussi récent et volontaire (Maïga et
Coulibaly).


Thus, a Koulibali is a Kéita's senãnku among the Bambara; Bozo and Dogon as well as Bozo and Somono are also senãnku(1)",Somono is another name for Bambara,murdock,BAMBARA,Bambara,index,ethnic_entity_index,murdock,BOZO,Bozo,index,ethnic_entity_index,1
Bambara,Dogon,keerthana_analysis,1,0,BurkinaFaso,,,,murdock,BAMBARA,Bambara,index,ethnic_entity_index,murdock,DOGON,Dogon,index,ethnic_entity_index,1
BAMBARA,Fulbe,icmid_jr_pair,1,1,West Africa,"Bambara_Diallo_2006.pdf

Bambara_119_NK:p1","L’examen des
aspects historiques du phénomène des plaisanteries dans ses moments
constitutifs révèle que ce type de relations constitue le modèle restreint
d’interactions sociales larges et relativement anciennes où se reflète la repré-
sentation de rapports de force passés entre groupes dominants et groupes
dominés dans les formations étatiques précoloniales ouest-africaines. Les
relations de clientèle Peuls/Bambara dans le cadre du royaume de Ségou,
de même que les relations entre les chefs wattara/ouattara de l’ancien État
de Kong et les groupes assujettis sont typiques de ce genre de relations
entre dominants et dominés.

Thus, a Koulibali is a Kéita's senãnku among the Bambara; Bozo and Dogon as well as Bozo and Somono are also senãnku(1).",,murdock,BAMBARA,Bambara,index,ethnic_entity_index,greg,FULBE,Fulbe,index,ethnic_entity_index,1
Bam,Mossi,keerthana_analysis,1,0,BurkinaFaso,,,,,,Bam,,,murdock,MOSSI,Mossi,index,ethnic_entity_index,0
Bangubangu,REGA,icmid_jr_pair,1,0,Central Africa,https://dice.missouri.edu/assets/docs/niger-congo/Bangubangu.pdf,The western and southern Lega stand in an unusual joking relationship to the Bangubangu.,,,,Bangubangu,,,murdock,REGA,REGA,gis_exact,gis:murdock,0
Bani,Dogon,keerthana_analysis,1,0,BurkinaFaso,,,,,,Bani,,,murdock,DOGON,Dogon,index,ethnic_entity_index,0
Bani,Gourmantché,keerthana_analysis,1,0,BurkinaFaso,,,,,,Bani,,,murdock,GURMA,Gourmantché,index,https://en.wikipedia.org/wiki/Gurma_people,0
Bani,Samo,keerthana_analysis,1,0,BurkinaFaso,,,,,,Bani,,,murdock,SAMO,Samo,index,ethnic_entity_index,0
Baoule,KULANGO,icmid_jr_pair,1,1,West Africa,CoteDivoire_Nea_2021.pdf,Tableau 2 : Alliances inter-ethniques à plaisanterie,,,,Baoule,,,murdock,KULANGO,KULANGO,gis_exact,gis:murdock,0
Barebare,Fulani,llm_ehraf,1,0,WesternAfrica,/Hausa_Baba_102_NK,"we are Kado—Habe, the people who have been here since long before the Fulani came; Habe are free, not like a dimajo or a bacucane, they are two names for the same thing—the son of a slave, a man born in captivity. We came from Bornu but we were like Habe, and my family did not like to marry

 ) But the chief of the town was a Fulani, and

Regulation Of

Avuncular And
Nepotic Relatives

Regulation Of

into families who  held ruling titles, in spite of the fact that Bornu people
and Fulani are joking relations—Barebare and Fulani. (
 ) That was why
could not marry Sarkin Zarewa’s son.","Text explicitly calls Barebare (Bornu people) and Fulani 'joking relations', a recurrent cross-group institutional tie.",,,Barebare,,,greg,FULBE,Fulbe,registry,bootstrapped from entity index polygon_ids,0
Barga,Mossi,keerthana_analysis,1,0,BurkinaFaso,,,,,,Barga,,,murdock,MOSSI,Mossi,index,ethnic_entity_index,0
BARGU,Nago,icmid_jr_pair,1,0,West Africa,Bargu_Schottman_1995.pdf; Bargou_Bigou_2019.pdf,"The Baatombu are tied by a joking relations
the Nago to the south and the Djerma, a subgr
With members of these two ethnic groups,
tionship, joking is largely limited to occasio
each other by the name of the group, instead o
dress, the partners will exchange a few mocki
by cultura,


2.1.3- Les rapports sociaux, politiques, économiques,
culturels et cultuels entre les Shabè et d’autres groupes
socioculturels : les formes des pratiques et expressions
de la parenté a plaisanterie entre les Shàbè et les
baatombu du Bénin et du Nigeria",Another name for Baatombu,murdock,BARGU,BARGU,gis_exact,gis:murdock,,,Nago,,,0
BARGU,Shabe,icmid_jr_pair,1,1,West Africa,Bargu_Schottman_1995.pdf; Bargou_Bigou_2019.pdf,"The Baatombu are tied by a joking relations
the Nago to the south and the Djerma, a subgr
With members of these two ethnic groups,
tionship, joking is largely limited to occasio
each other by the name of the group, instead o
dress, the partners will exchange a few mocki
by cultura,


2.1.3- Les rapports sociaux, politiques, économiques,
culturels et cultuels entre les Shabè et d’autres groupes
socioculturels : les formes des pratiques et expressions
de la parenté a plaisanterie entre les Shàbè et les
baatombu du Bénin et du Nigeria",Another name for Baatombu,murdock,BARGU,BARGU,gis_exact,gis:murdock,,,Shabe,,,0
BARGU,Zerma,icmid_jr_pair,1,0,West Africa,Bargu_Schottman_1995.pdf; Bargou_Bigou_2019.pdf,"The Baatombu are tied by a joking relations
the Nago to the south and the Djerma, a subgr
With members of these two ethnic groups,
tionship, joking is largely limited to occasio
each other by the name of the group, instead o
dress, the partners will exchange a few mocki
by cultura,


2.1.3- Les rapports sociaux, politiques, économiques,
culturels et cultuels entre les Shabè et d’autres groupes
socioculturels : les formes des pratiques et expressions
de la parenté a plaisanterie entre les Shàbè et les
baatombu du Bénin et du Nigeria",Another name for Baatombu,murdock,BARGU,BARGU,gis_exact,gis:murdock,murdock,ZERMA,Zerma,index,ethnic_entity_index,1
Bassorobié,Gourounsi,keerthana_analysis,1,0,BurkinaFaso,,,,,,Bassorobié,,,murdock,GRUNSHI,Gourounsi,index,https://en.wikipedia.org/wiki/Gurunsi_people,0
BAULE,Dida,icmid_jr_pair,1,0,West Africa,"CoteDivoire_Nea_2021.pdf

Cotedivoire_Meke_2004.pdf","Tableau 2 : Alliances inter-ethniques à plaisanterie

QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian",,murdock,BAULE,BAULE,gis_exact,gis:murdock,murdock,DIDA,DIDA,gis_exact,gis:murdock,1
BAULE,Kulango,icmid_jr_pair,1,1,West Africa,"CoteDivoire_Nea_2021.pdf

Cotedivoire_Meke_2004.pdf","Tableau 2 : Alliances inter-ethniques à plaisanterie

QUELQUES ALLIANCES A PLAISANTERIES...Adjoukrou /Dida, Adjoukrou / Alladian",,murdock,BAULE,BAULE,gis_exact,gis:murdock,murdock,KULANGO,KULANGO,gis_exact,gis:murdock,1
BAYA,Dii,icmid_jr_pair,1,0,Central Africa,Bayi_Nandiba,"Les railleries et les plaisanteries organisées par les Dii et les Gbaya
pendant les cérémonies funéraires constituent aussi un facteur de consolidation
des liens interethniques entre Dii et Gbaya.",,murdock,BAYA,BAYA,gis_exact,gis:murdock,murdock,DURU,Dii,index,ethnic_entity_index,1
Bella,Gourmantché,keerthana_analysis,1,0,BurkinaFaso,,,,,,Bella,,,murdock,GURMA,Gourmantché,index,https://en.wikipedia.org/wiki/Gurma_people,0
BEMBA,KUNDA,icmid_jr_pair,1,0,East Africa,Mitchell_J._C_1956.pdf,"Tribalism on the Copperbelt thus refers to groupings made on the basis of broad cultural differences. There is a tendency for the Bemba and other tribes from the Northern Province to consider the Chewa, Nsenga, Kunda and other people from the Eastern Province, for example, as 'Ngoni'... In the same way the Eastern Province tribes tend to lump together the Lungu, Tabwa, Eastern Lunda, Bemba and other Northern Province tribes in one category the 'Bemba'",,murdock,BEMBA,Bemba,index,ethnic_entity_index,murdock,KUNDA,KUNDA,gis_exact,gis:murdock,1
BEMBA,LUAPULA,icmid_jr_pair,1,0,East Africa,IAN_CUNNISON_1959.pdf,"the Shila chief, frequently crosses from the Congo and visits on his bicycle all the Shila headmen of the east bank. He even keeps up his connection with Chitimukulu, whose land his ancestor left some centuries ago; and he caused grave annoyance to Kazembe XIV by taking tribute to the Bemba king rather than to him.",,murdock,BEMBA,Bemba,index,ethnic_entity_index,murdock,LUAPULA,LUAPULA,gis_exact,gis:murdock,1
Bemba,MPEZENI,icmid_jr_pair,1,0,East Africa,R_E_MOREAU_1944.pdf,"Wemba (Tanganyika outliers of the Bemba of Northern Rhodesia) with Ngoni, Hehe, Yao, and Ngindo. Ngindo with Ngoni (and some Nyasa tribes).","Wemba= Bemba, Ngoni = MPEZENI",murdock,BEMBA,Bemba,index,ethnic_entity_index,murdock,MPEZENI,Mpezeni,index,ethnic_entity_index,1
BEMBA,NGINDO,icmid_jr_pair,1,0,East Africa,R_E_MOREAU_1944.pdf,"Wemba (Tanganyika outliers of the Bemba of Northern Rhodesia) with Ngoni, Hehe, Yao, and Ngindo. Ngindo with Ngoni (and some Nyasa tribes).",Wemba= Bemba,murdock,BEMBA,Bemba,index,ethnic_entity_index,murdock,NGINDO,NGINDO,gis_exact,gis:murdock,1
BEMBA,NGONI,icmid_jr_pair,1,0,East Africa,R_E_MOREAU_1944.pdf,"Wemba (Tanganyika outliers of the Bemba of Northern Rhodesia) with Ngoni, Hehe, Yao, and Ngindo. Ngindo with Ngoni (and some Nyasa tribes).",Wemba= Bemba,murdock,BEMBA,Bemba,index,ethnic_entity_index,greg,ANGONI,Ngoni,index,ethnic_entity_index,1
Bemba,NSENGA,icmid_jr_pair,1,0,East Africa,Wim_van Binsbergen_2011.pdf,"Such joking relations are not limited to the Nkoya but are found all over Zambia, even in modern contexts of urban ethnicity – where for instance Lozi and Tonga, and Bemba and Nsenga, are each other’s joking partners / grandparents.",,murdock,BEMBA,Bemba,index,ethnic_entity_index,murdock,NSENGA,Nsenga,index,ethnic_entity_index,1
BENA,Kinga,icmid_jr_pair,1,0,East Africa,R_E_MOREAU_1944.pdf,"Ngoni with Yao, Wemba, Ngindo, Nyakyusa, Kinga, Bena, Makonde, Mwera, Mbunga, Ha, Nyamwezi, Sukuma, Hehe, Kami, Luguru, Gogo, Nyiramba,Zaramu., Mbunga with Yao (one branch), Ngoni, Pogoro, Makonde, Rufiji, Mawia, Kinga, Nyika, Hehe, Sangu, Gogo, Sagara, Vidunda, Kami, and Zaramu.",,murdock,BENA,Bena,index,ethnic_entity_index,murdock,KINGA,KINGA,gis_exact,gis:murdock,1
